question,expected_answer,generated_answer,expected_guideline,generated_guideline,guideline_match,answer_correct
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","I'll provide a clear and comprehensive review of when genetic testing beyond BRCA1/2 should be considered based on the provided information.

Final Answer:
Genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered in three main scenarios:

1. For High-Penetrance Genes (PALB2, TP53, PTEN, STK11, CDH1):
- When it could impact medical or surgical treatment decisions
- To assess risks for second primary cancers
- To provide more accurate family risk assessment

2. For Moderate-Penetrance Breast Cancer Genes:
- When already conducting BRCA1/2 testing
- When results will help determine risks for additional primary cancers
- When results will aid in family risk assessment

3. When Using Multi-Gene Panels:
- Testing should be tailored to patient's personal and family history
- Genetics expert consultation is recommended for:
  * Panel selection
  * Result interpretation
  * Patient counseling

Important considerations:
- Testing should be done thoughtfully with genetic expertise input
- Most genes beyond BRCA1/2 don't currently affect treatment decisions
- The approach should be individualized based on personal and family history
- High-penetrance genes are typically only found when suggested by family history

TERMINATE",breast_cancer_1,breast_cancer_1,TRUE,YES
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"Based on the provided information, I can give a clear answer regarding the management of patients with variants of uncertain significance (VUS):

Patients with VUS should be managed according to these key principles:

1. Medical Management:
- VUS results should NOT alter medical management or treatment decisions
- Care decisions should be based solely on personal and family history, not the VUS finding

2. Patient Care Protocol:
- Implement systematic follow-up procedures
- Annual follow-up is reasonable
- Keep patients informed about potential future reclassification
- Maintain periodic contact for updates

3. Patient Communication:
- Educate patients that VUS are common findings
- Explain that VUS may be reclassified in the future
- Emphasize that VUS should not impact their current care decisions

4. Professional Support:
- Consider consultation with clinical cancer genetics experts for:
  * VUS interpretation
  * Follow-up planning
  * Counseling guidance

5. Important Restrictions:
- Family studies tracking VUS should only be conducted through research protocols, not in clinical care
- Avoid making clinical decisions based on VUS findings

TERMINATE",breast_cancer_1,breast_cancer_1,TRUE,YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"Based on the provided information, I can provide a clear answer regarding germline testing strategy for patients with recurrent breast cancer:

For patients with recurrent breast cancer, the guideline specifically recommends that:

All patients with recurrent breast cancer (whether local or metastatic) should receive BRCA1/2 testing if they are candidates for PARP inhibitor therapy, regardless of their family history.

This is outlined in Recommendation 2.1 of the guidelines and represents a straightforward testing strategy focused on therapeutic decision-making, particularly for determining PARP inhibitor eligibility.

TERMINATE",breast_cancer_1,breast_cancer_1,TRUE,YES
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"Based on the provided information, I'll provide a clear summary of the HER2 testing criteria for trastuzumab deruxtecan eligibility:

To be eligible for trastuzumab deruxtecan, patients must have:
1. HER2 IHC 1+ OR
2. HER2 IHC 2+ with ISH non-amplified results

Key points:
- Patients with IHC 0 are NOT eligible
- Testing should follow standard ASCO-CAP guidelines for scoring:
  - IHC 1+: Incomplete membrane staining that is faint/barely perceptible in >10% of tumor cells
  - IHC 2+: Weak to moderate complete membrane staining in >10% of tumor cells

Important testing considerations:
- Use 40x magnification for IHC assessment
- Consider second pathologist review for borderline cases
- Use appropriate controls
- Reports must include specific IHC scores rather than just ""HER2-negative"" status to properly identify eligible patients

TERMINATE",breast_cancer_2,breast_cancer_2,TRUE,YES
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","After reviewing the provided information, I can provide a clear answer about the best practices for distinguishing HER2 IHC 0 from 1+ results:

Key best practices include:

1. Microscopic Examination:
- Always use high power (40×) magnification
- Follow standardized ASCO-CAP guidelines scoring criteria

2. Quality Assurance Measures:
- Implement second pathologist review for borderline cases, particularly when >10% of cells show faint/barely perceptible incomplete membrane staining
- Use control samples that include 1+ expression levels to ensure proper detection sensitivity

3. Technical Considerations:
- Pay strict attention to preanalytic conditions for both primary and metastatic tissue samples
- Be aware that tissue processing can impact protein detection at low expression levels

4. Comprehensive Assessment:
- Review HER2 IHC results from prior or concurrent primary samples
- Consider results from other metastatic sites when available
- Account for possible heterogeneity in HER2 expression between samples

5. Documentation:
- Carefully document cases near the 0/1+ threshold
- Note any challenging interpretive issues

These practices are particularly important now that the 0/1+ threshold has treatment implications for trastuzumab deruxtecan eligibility, even though the clinical significance of this threshold is still being evaluated.

TERMINATE",breast_cancer_2,breast_cancer_2,TRUE,YES
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","Based on the provided information, I can give a clear answer to your question:

For patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and received two prior lines of chemotherapy, sacituzumab govitecan (SG) is the recommended treatment option. This recommendation is supported by strong clinical evidence from the TROPiCS-02 Phase III trial, which demonstrated:

1. Improved survival outcomes:
- 34% reduction in risk of progression or death
- Better progression-free survival (5.5 vs 4.0 months)
- Longer overall survival (14.4 vs 11.2 months)

2. This is a strong recommendation with moderate quality evidence according to ASCO guidelines

Patients should be monitored for potential adverse events, particularly:
- Diarrhea
- Neutropenic complications (including febrile neutropenia and neutropenic colitis)

This recommendation specifically applies to patients who meet ALL of these criteria:
- HR-positive, HER2-negative metastatic breast cancer
- Endocrine therapy refractory
- At least two prior lines of chemotherapy for metastatic disease

TERMINATE",breast_cancer_4,breast_cancer_4,TRUE,YES
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.","Based on the provided information, I can give a clear answer to your question:

Trastuzumab deruxtecan (T-DXd) offers improved survival for HER2-low metastatic breast cancer patients who have received at least one prior chemotherapy. The survival benefits are well-documented:

For hormone receptor-positive patients:
- Improved median PFS: 10.1 vs 5.4 months
- Improved median OS: 23.9 vs 17.5 months

For hormone receptor-negative patients:
- Improved median PFS: 8.5 vs 2.9 months
- Improved median OS: 18.2 vs 8.3 months

This recommendation is supported by strong evidence from a randomized phase III trial and is considered a strong recommendation by ASCO. However, it's important to note that there is a risk of interstitial lung disease/pneumonitis (occurring in 12.1% of patients), which requires monitoring.

TERMINATE",breast_cancer_5,breast_cancer_5,TRUE,YES
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"Based on the provided information, I can give a clear answer to your question:

In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA after CDK4/6 inhibitor treatment, elacestrant is the preferred therapy option. This recommendation is supported by evidence from the EMERALD trial, which demonstrated superior progression-free survival with elacestrant compared to standard of care (HR 0.55, median PFS 3.8 vs 1.9 months) specifically in patients with ESR1 mutations.

Alternative options include:
1. Other endocrine therapy (alone or with targeted agents)
2. For PIK3CA-mutated tumors: endocrine therapy + alpelisib
3. Endocrine therapy + everolimus

Important note: ESR1 mutation testing should be performed on blood (preferred) or tissue at the time of progression, and retesting may be needed at subsequent progression if initially negative. TERMINATE",breast_cancer_3,breast_cancer_3,TRUE,YES
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","After reviewing the provided information, I'll formulate a comprehensive answer about the key considerations when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer:

The key considerations can be organized into four main categories:

1. Patient Eligibility:
- Patients must have HER2-low status (IHC 1+ or 2+ and ISH-negative)
- Must have received at least one prior line of chemotherapy for metastatic disease
- Hormone receptor-positive patients must be refractory to endocrine therapy

2. Clinical Efficacy:
- Demonstrates significant survival benefits:
  * Improved progression-free survival (10.1 vs 5.4 months in HR+ patients)
  * Enhanced overall survival (23.9 vs 17.5 months in HR+ patients)
  * Similar benefits observed in hormone receptor-negative patients

3. Safety Monitoring:
- Critical monitoring for interstitial lung disease/pneumonitis is essential
- Risk of ILD/pneumonitis occurs in approximately 12% of patients
- Severity ranges from asymptomatic (Grade 1) to potentially fatal (Grade 4/5)
- Regular monitoring and early intervention are necessary

4. Clinical Implementation:
- Treatment represents a practice-changing approach for HER2-low breast cancer
- Decision-making should incorporate individual patient factors and preferences
- Strong recommendation based on moderate quality evidence
- Benefits are considered to outweigh potential harms

Healthcare providers should carefully weigh these factors while implementing appropriate safety monitoring protocols and discussing potential benefits and risks with patients. TERMINATE",breast_cancer_5,breast_cancer_5,TRUE,YES
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"Based on the provided information, I can give you a comprehensive answer about therapy options for HR-positive, HER2-negative metastatic breast cancer with PIK3CA mutations:

The treatment follows a sequential approach:

First-line Treatment:
- Combination therapy with a nonsteroidal aromatase inhibitor (AI) plus a CDK4/6 inhibitor is the preferred initial treatment due to proven benefits in progression-free and overall survival

Second-line and Beyond:
- Alpelisib combined with fulvestrant is recommended after progression on prior endocrine therapy including an AI
- This combination can be used regardless of whether the patient has received prior CDK4/6 inhibitor treatment

Important Considerations for Alpelisib Treatment:
1. Patient Eligibility:
- Available for postmenopausal women and male patients
- Requires confirmed PIK3CA mutation status through NGS testing (tumor tissue or cell-free DNA)

2. Monitoring Requirements:
- Baseline HbA1c and fasting glucose testing
- Weekly monitoring in first 4 weeks for:
  * Hyperglycemia
  * Rash
- Active management of side effects, particularly diarrhea

Treatment Sequencing:
- CDK4/6 inhibitor + endocrine therapy should be used before alpelisib or everolimus due to:
  * Better efficacy data
  * More favorable tolerability profile
- There is limited data on alpelisib use after CDK4/6 inhibitors
- Sequential use of alpelisib and everolimus (in either order) is not supported by current evidence

TERMINATE",breast_cancer_3,breast_cancer_13,FALSE,NO
