question,expected_answer,oai_answer,claude_answer,oai_match,claude_match
What criteria should be used to determine BRCA1/2 testing for newly diagnosed breast cancer patients?,"Patients ≤65 years old or >65 years with eligibility for PARP inhibitor therapy, triple-negative breast cancer, family history suggesting pathogenic variants, or Ashkenazi Jewish ancestry should be tested.","BRCA1/2 testing for newly diagnosed breast cancer patients should be considered based on the following criteria: young age at diagnosis (typically ≤45-50 years), triple-negative breast cancer diagnosed at ≤60 years, a personal or family history of breast, ovarian, pancreatic, or prostate cancer, male breast cancer, or known BRCA mutations in the family. Guidelines may vary, so clinical judgment and genetic counseling are recommended.","Key criteria for BRCA1/2 testing in newly diagnosed breast cancer patients include:

1. Age at diagnosis (≤45 years)
2. Triple-negative breast cancer (≤60 years)
3. Family history of breast, ovarian, pancreatic, or prostate cancer
4. Ashkenazi Jewish ancestry
5. Male breast cancer
6. Multiple primary breast cancers
7. Known BRCA1/2 mutation in family

These criteria align with NCCN guidelines and help identify patients most likely to carry BRCA mutations.",NO,NO
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","Genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered when there is a personal or family history of cancers associated with other hereditary cancer syndromes, early-onset cancers, multiple primary cancers, rare cancer types, or when tumor profiling suggests mutations in other predisposition genes.","Genetic testing beyond BRCA1/2 should be considered when:
1. Family history suggests other hereditary cancer syndromes
2. Personal history of multiple primary cancers
3. Early-onset cancers
4. Rare cancer types
5. BRCA1/2 testing is negative but strong family history exists
6. Specific ethnic backgrounds with known genetic predispositions",NO,NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"Patients with variants of uncertain significance (VUS) should not have their medical management altered based solely on the VUS result. Instead, management should be guided by personal and family history, while the VUS is monitored for reclassification over time. Genetic counseling is recommended to provide context and support.","Patients with VUS should be managed based on their personal and family history of disease, rather than the VUS result itself. The VUS should not be used to make clinical decisions. Regular follow-up is recommended as the variant's classification may change over time with new evidence.",YES,YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"For patients with recurrent breast cancer, germline testing is recommended based on personal and family history of cancer, age at diagnosis, and tumor characteristics, following established guidelines such as those from NCCN. Universal germline testing may also be considered in certain cases to guide treatment decisions.","For patients with recurrent breast cancer, germline testing for BRCA1/2 and other high-penetrance breast cancer susceptibility genes is recommended, particularly if they have:
- Early-onset disease
- Triple-negative breast cancer
- Family history of breast/ovarian cancer
- Ashkenazi Jewish ancestry

This testing helps guide treatment decisions and identify family members at risk.",NO,NO
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"HER2 testing for trastuzumab deruxtecan eligibility should follow ASCO/CAP guidelines, using immunohistochemistry (IHC) and/or in situ hybridization (ISH) to classify HER2 status as positive (IHC 3+ or IHC 2+ with ISH amplification) or low (IHC 1+ or IHC 2+ without ISH amplification), depending on the specific indication.","For trastuzumab deruxtecan (T-DXd) eligibility, patients should be HER2-positive by either:
- IHC 3+ or
- IHC 2+ with ISH confirmation
- ISH-positive (HER2/CEP17 ratio ≥2.0 or HER2 copy number ≥6)

Recent data also supports use in HER2-low patients (IHC 1+ or IHC 2+/ISH-negative).",NO,NO
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","The best practices for distinguishing HER2 IHC 0 from 1+ results include:  
1. **Strict adherence to ASCO/CAP guidelines** for scoring HER2 IHC.  
2. **Careful evaluation of staining intensity**: IHC 0 shows no staining or faint, incomplete membrane staining in ≤10% of tumor cells, while IHC 1+ shows faint, incomplete membrane staining in >10% of tumor cells.  
3. **Use of appropriate controls** to ensure assay accuracy.  
4. **Training and experience** of pathologists in interpreting subtle differences.  
5. **Digital pathology tools** or image analysis software, if available, to reduce subjectivity.","The best practices for distinguishing HER2 IHC 0 from 1+ results include:

1. 0 (Negative): No staining or barely perceptible/incomplete membrane staining in ≤10% of tumor cells
2. 1+ (Negative): Faint/barely perceptible incomplete membrane staining in >10% of tumor cells

Key differentiator: Focus on the percentage of cells showing membrane staining and the completeness/intensity of the membrane staining pattern.",YES,NO
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","For such patients, treatment with **sacituzumab govitecan** is recommended.","For HR+/HER2- metastatic breast cancer patients who have progressed on endocrine therapy and received two prior chemotherapy lines, recommended treatment options include:

1. Additional line of chemotherapy (single-agent):
- Capecitabine
- Eribulin
- Vinorelbine
- Weekly paclitaxel

Choice depends on previous treatments received, patient performance status, and side effect profile.",NO,NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.","For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, **trastuzumab deruxtecan (Enhertu)** has been shown to improve survival.","Trastuzumab deruxtecan (T-DXd, Enhertu) has shown improved progression-free and overall survival in HER2-low metastatic breast cancer patients previously treated with chemotherapy, as demonstrated in the DESTINY-Breast04 trial.",NO,YES
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"The preferred therapy is **elacestrant**, an oral selective estrogen receptor degrader (SERD), for patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA after prior CDK4/6 inhibitor treatment.","In patients with HR+/HER2- metastatic breast cancer and ESR1 mutations after CDK4/6 inhibitor treatment, fulvestrant is the preferred endocrine therapy option over aromatase inhibitors, as ESR1 mutations typically confer resistance to aromatase inhibitors but may retain sensitivity to fulvestrant.",YES,NO
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","When prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer, key considerations include confirming HER2-low status (IHC 1+ or IHC 2+/ISH-), prior lines of therapy, potential adverse effects (e.g., interstitial lung disease/pneumonitis, myelosuppression, nausea), patient comorbidities, and monitoring for toxicity. Regular follow-up and patient education on symptom reporting are essential.","Key considerations for prescribing trastuzumab deruxtecan in HER2-low metastatic breast cancer:

1. Confirm HER2-low status (IHC 1+ or IHC 2+/ISH-negative)
2. Prior treatment history (typically used after chemotherapy)
3. Monitor for:
- Interstitial lung disease/pneumonitis
- Cardiac function (LVEF)
- Neutropenia
- Nausea/vomiting
4. Performance status and organ function
5. Regular assessments for toxicity and response",NO,NO
