question,expected_answer,asco_assistant_answer,asco_assistant_match
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","Genetic testing for cancer predisposition genes beyond BRCA1/2 is often recommended starting at age 18, when individuals can provide informed consent.1 However, in rare cases involving pediatric melanoma, uveal melanoma, or meningioma, testing for genes like BAP1 may be considered earlier with parental consent and genetic counseling.2 Additionally, when germline genetic testing is indicated for a patient with cancer, multigene panel testing should be offered if more than one gene is relevant.3
",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"Patients with variants of uncertain significance (VUS) should have their management unchanged by the VUS finding.1 Patients should be informed that VUS results may be reclassified as pathogenic in the future, and periodic follow-up is necessary.2
",YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"For patients with recurrent breast cancer, BRCA1/2 testing should be offered to all patients who are candidates for PARP inhibitor therapy, regardless of family history.1 Additionally, BRCA1/2 testing should be offered to patients with a second primary cancer in either the contralateral or ipsilateral breast.2
",YES
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"Patients with breast cancer may be eligible for trastuzumab deruxtecan if their tumor tests as HER2 IHC 1+ or IHC 2+/ISH not-amplified. However, the clinical validity of this threshold remains untested.
",NO
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","To distinguish HER2 IHC 0 from 1+ results, pathologists should utilize standardized ASCO-CAP guidelines scoring criteria for examining HER2 IHC stained slides, examine HER2 IHC at high power (40-) when discriminating 0 from 1+ staining, and consider a second pathologist review when results are close to the 0 versus 1+ interpretive threshold. Additional best practices include using controls with a range of protein expression and paying careful attention to preanalytic conditions of breast cancer tissue samples.
",YES
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","For hormone receptor-positive, HER2-negative metastatic breast cancer patients who have progressed on endocrine therapy and received at least two prior lines of chemotherapy, sacituzumab govitecan may be offered. Additionally, for patients with germline BRCA1 or 2 mutations, an oral PARP inhibitor may be offered instead of chemotherapy.
",YES
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.","For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one line of chemotherapy, trastuzumab deruxtecan offers improved survival.
",YES
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"For patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, after prior CDK4/6 inhibitor treatment, elacestrant is a recommended treatment option, either alone or in combination with targeted agents such as alpelisib (for PIK3CA-mutated tumors) or everolimus. Elacestrant has comparable or greater activity than standard-of-care endocrine therapy (ET) monotherapy.
",YES
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","Trastuzumab deruxtecan is recommended for HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) patients who have received at least one prior chemotherapy regimen for metastatic disease and, if hormone receptor-positive (HR+), are refractory to endocrine therapy. However, it's crucial to be aware of potential side effects, particularly interstitial lung disease",YES
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"For patients with hormone receptor-positive, HER2-negative metastatic breast cancer and PIK3CA mutations, alpelisib in combination with endocrine therapy is a recommended treatment option. Specifically, alpelisib should be combined with fulvestrant for postmenopausal women and men.
",YES
