question,expected_answer,gemini-2.5-flash_answer,gemini-2.5-flash_match
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","Genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered when personal or family history suggests other hereditary cancer syndromes. This typically includes:

1.  **Specific cancer types** not primarily linked to BRCA1/2 (e.g., colorectal, uterine, pancreatic, prostate, melanoma, gastric, kidney).
2.  **Early age of cancer onset** for certain cancer types.
3.  **Multiple affected relatives** with related cancers.
4.  **Multiple primary cancers** in the same individual.
5.  **Specific tumor characteristics** (e.g., MSI-high colorectal cancer).
6.  **Meeting established clinical criteria or guidelines** from professional organizations.",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"Patients with variants of uncertain significance (VUS) should be managed based on their **personal and family history**, not solely on the VUS finding.

Key points:
1.  **Educate:** Explain that a VUS has uncertain clinical significance and does not currently explain their condition or risk.
2.  **Reassure:** Emphasize it is not considered pathogenic at this time.
3.  **Continue Care:** Maintain clinical management, screening, and treatment based on established guidelines and their history.
4.  **Future:** Note that the VUS classification may change over time and recontact policies should be followed.",YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"Germline testing with a multi-gene panel is generally recommended for patients with recurrent breast cancer, often aligning with guidelines for advanced or metastatic disease.",NO
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"Eligibility typically requires **HER2-positive** testing (IHC 3+ or FISH positive) or, particularly for breast cancer, **HER2-low** testing (IHC 1+ or IHC 2+ with negative FISH).",NO
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","Distinguishing HER2 IHC 0 from 1+ requires strict adherence to ASCO/CAP guidelines, focusing on two key aspects:

1.  **Percentage:** >10% of invasive tumor cells with membrane staining for 1+ vs. <10% for 0.
2.  **Intensity/Pattern:** Both show faint/barely perceptible membrane staining, but it must be *membrane* staining in *invasive tumor cells*.

Best practices include standardized laboratory protocols, experienced interpretation focusing on these criteria, and assessing the entire tumor section.",NO
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","For patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and received two prior lines of chemotherapy, **Sacituzumab Govitecan (Trodelvy)** is a recommended treatment option. Single-agent chemotherapy may also be considered.",NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.",Trastuzumab deruxtecan (T-DXd) offers improved survival.,NO
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"Based on recent clinical trials (like EMERALD), the preferred therapy is typically an **oral selective estrogen receptor degrader (SERD)**, such as elacestrant.",YES
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","When prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer, key considerations include:

1.  **Confirmation of HER2-low status:** Ensure the tumor is IHC 1+ or IHC 2+/ISH-negative.
2.  **Monitoring for and management of Interstitial Lung Disease (ILD)/Pneumonitis:** This is a potentially fatal toxicity requiring vigilant monitoring and prompt intervention (dose hold, modification, or discontinuation).
3.  **Monitoring for hematologic toxicities:** Particularly neutropenia.
4.  **Monitoring cardiac function:** Assess LVEF, although cardiac events are less frequent than ILD.
5.  **Managing gastrointestinal toxicities:** Such as nausea and vomiting.",NO
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"Therapy options typically involve endocrine therapy (ET) combined with targeted agents.

1.  **ET plus PI3K inhibitor:** Specifically, ET (often fulvestrant) combined with alpelisib (a PI3K inhibitor) is a key option for PIK3CA-mutated disease.
2.  **ET plus CDK4/6 inhibitor:** These combinations (like palbociclib, ribociclib, or abemaciclib with ET) are standard initial treatment options, even with a PIK3CA mutation.
3.  **Chemotherapy:** Used for more aggressive disease or after targeted therapies fail.
4.  **Other targeted therapies:** Options like sacituzumab govitecan may be used in later lines.",NO
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.","Based on clinical trial data (EMERALD), elacestrant shows **limited or no significant effectiveness** compared to standard endocrine therapy in ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer. Its primary benefit is seen in tumors with ESR1 mutations.",YES
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin","For HER2-negative metastatic breast cancer refractory to endocrine therapy, **sacituzumab govitecan** is generally preferred over single-agent chemotherapy based on clinical trial data demonstrating superior outcomes in this setting.",NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.","ctDNA testing should primarily be performed **upon disease progression on systemic therapy**, especially to identify actionable mutations like *ESR1* or *PIK3CA* that can guide subsequent treatment. It can also be considered if tissue biopsy is not feasible at the time of metastatic diagnosis or progression.",YES
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,"For premenopausal women with node-positive, ER-positive, HER2-negative breast cancer, the recommendation is typically **systemic therapy including chemotherapy**, followed by or concurrent with **endocrine therapy**.

Crucially, the endocrine therapy involves **ovarian function suppression (OFS) plus an aromatase inhibitor (or tamoxifen)**, and a **CDK4/6 inhibitor (like abemaciclib)** is strongly recommended to be added to the OFS and endocrine therapy regimen.",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,"For patients with hormone receptor-positive (HR+), HER2-negative early breast cancer, the Breast Cancer Index (BCI) test can be offered *after completing 5 years of endocrine therapy* to help inform the decision about whether to extend treatment for another 5 years.",NO
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,The primary benefits in postmenopausal patients are improved overall survival and reduced bone recurrence/metastases. They also help preserve bone mineral density.,YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).","For adjuvant therapy, particularly in post-menopausal women with early breast cancer, the most commonly recommended bisphosphonate is **Zoledronic acid**.

The typical dose is **4 mg IV every 6 months**.",NO
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,"Based on current evidence, adjuvant denosumab is **not routinely recommended or proven effective** for preventing overall recurrence in all breast cancer patients. Its primary adjuvant use is for improving bone mineral density in patients at risk of bone loss due to treatment (like aromatase inhibitors). While some studies suggest potential benefits for bone recurrence, it's not standard practice for preventing *overall* recurrence.",YES
