question,expected_answer,oai_answer,oai_match
What criteria should be used to determine BRCA1/2 testing for newly diagnosed breast cancer patients?,"Patients ≤65 years old or >65 years with eligibility for PARP inhibitor therapy, triple-negative breast cancer, family history suggesting pathogenic variants, or Ashkenazi Jewish ancestry should be tested.","BRCA1/2 testing for newly diagnosed breast cancer patients should be considered based on the following criteria: young age at diagnosis (typically ≤45-50 years), triple-negative breast cancer diagnosed at ≤60 years, a personal or family history of breast, ovarian, pancreatic, or prostate cancer, male breast cancer, or known BRCA mutations in the family. Guidelines may vary, so clinical judgment and genetic counseling are recommended.",NO
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","Genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered when there is a personal or family history of cancers associated with other hereditary cancer syndromes, early-onset cancers, multiple primary cancers, rare cancer types, or when tumor profiling suggests mutations in other predisposition genes.",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"Patients with variants of uncertain significance (VUS) should not have their medical management altered based solely on the VUS result. Instead, management should be guided by personal and family history, while the VUS is monitored for reclassification over time. Genetic counseling is recommended to provide context and support.",YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"For patients with recurrent breast cancer, germline testing is recommended based on personal and family history of cancer, age at diagnosis, and tumor characteristics, following established guidelines such as those from NCCN. Universal germline testing may also be considered in certain cases to guide treatment decisions.",NO
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"HER2 testing for trastuzumab deruxtecan eligibility should follow ASCO/CAP guidelines, using immunohistochemistry (IHC) and/or in situ hybridization (ISH) to classify HER2 status as positive (IHC 3+ or IHC 2+ with ISH amplification) or low (IHC 1+ or IHC 2+ without ISH amplification), depending on the specific indication.",NO
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","The best practices for distinguishing HER2 IHC 0 from 1+ results include:  
1. **Strict adherence to ASCO/CAP guidelines** for scoring HER2 IHC.  
2. **Careful evaluation of staining intensity**: IHC 0 shows no staining or faint, incomplete membrane staining in ≤10% of tumor cells, while IHC 1+ shows faint, incomplete membrane staining in >10% of tumor cells.  
3. **Use of appropriate controls** to ensure assay accuracy.  
4. **Training and experience** of pathologists in interpreting subtle differences.  
5. **Digital pathology tools** or image analysis software, if available, to reduce subjectivity.",YES
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","For such patients, treatment with **sacituzumab govitecan** is recommended.",NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.","For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, **trastuzumab deruxtecan (Enhertu)** has been shown to improve survival.",NO
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"The preferred therapy is **elacestrant**, an oral selective estrogen receptor degrader (SERD), for patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA after prior CDK4/6 inhibitor treatment.",YES
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","When prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer, key considerations include confirming HER2-low status (IHC 1+ or IHC 2+/ISH-), prior lines of therapy, potential adverse effects (e.g., interstitial lung disease/pneumonitis, myelosuppression, nausea), patient comorbidities, and monitoring for toxicity. Regular follow-up and patient education on symptom reporting are essential.",NO
