Question,Answer,Guideline,Generated_answer,Matches_Expected
What criteria should be used to determine BRCA1/2 testing for newly diagnosed breast cancer patients?,"Patients ≤65 years old or >65 years with eligibility for PARP inhibitor therapy, triple-negative breast cancer, family history suggesting pathogenic variants, or Ashkenazi Jewish ancestry should be tested.",breast_cancer_1,"Age at diagnosis, personal history of breast cancer, being assigned male at birth, having triple-negative breast cancer, and having a family history of breast cancer.",NO
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.",breast_cancer_1,"Genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered when patients undergoing BRCA1/2 testing show indications based on their personal or family history, especially if they are BRCA1/2-negative, or if patients have breast cancer diagnosed before 40 years of age.",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,breast_cancer_1,"Patients with variants of uncertain significance (VUS) should be managed based on their personal and family history, as well as the interpretation of the variant. Suspicious or clinically relevant VUS may require follow-up every 2 years, while nonclinically relevant VUS may not need active follow-up unless reclassified. VUS should not be incorporated into clinical decision-making unless characterized as pathogenic or likely pathogenic. Family history should guide risk reduction and screening strategies.",NO
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,breast_cancer_1,Patients with recurrent breast cancer who are candidates for PARP inhibitor therapy should be offered BRCA1/2 testing regardless of family history.,YES
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,breast_cancer_2,HER2 IHC 1+ or IHC 2+/ISH not-amplified results should be used to determine eligibility for trastuzumab deruxtecan.,YES
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.",breast_cancer_2,The best practices for distinguishing HER2 IHC 0 from 1+ results are considering a second pathologist review when results are close to the 0 versus 1+ interpretive threshold (>10% of cells with incomplete membrane staining that is faint/barely perceptible) and using controls with a range of protein expression (including 1+) to ensure the assay has an appropriate limit of detection.,NO
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.",breast_cancer_4,Sacituzumab govitecan (SG).,NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.",breast_cancer_5,Trastuzumab deruxtecan.,YES
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,breast_cancer_3,The preferred therapy options are elacestrant or other endocrine therapy either alone or in combination with targeted agents such as alpelisib (for PIK3CA-mutated tumors) or everolimus.,NO
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.",breast_cancer_5,"Patients must have HER2 IHC 1+ or 2+ and ISH-negative metastatic breast cancer, have received at least one prior chemotherapy for metastatic disease, and if hormone receptor-positive, be refractory to endocrine therapy.",NO
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,breast_cancer_3,Endocrine therapy in combination with targeted agents such as alpelisib or everolimus.,NO
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.",breast_cancer_3,"Elacestrant did not show significant improvement in progression-free survival for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer.",YES
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin",breast_cancer_4,Sacituzumab govitecan should be offered.,NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.",breast_cancer_3,ctDNA testing should be performed on blood or tissue obtained at the time of progression.,NO
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,breast_cancer_7,The answer is not found in the context.,NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,breast_cancer_7,"The Breast Cancer Index (BCI) test can be offered for extended endocrine therapy decisions in postmenopausal, early-stage ER-positive breast cancer patients with node-negative and 1-3 node-positive breast cancer.",NO
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,breast_cancer_8,"It reduces recurrence, distant recurrence, and breast cancer mortality, with a modest improvement in overall survival.",YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).",breast_cancer_8,"The recommended bisphosphonates for adjuvant therapy are oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg once every 6 months for 3 years or 4 mg once every 3 months for 2 years).",YES
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,breast_cancer_8,"No, adjuvant denosumab should not be used to prevent recurrence in breast cancer.",YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,breast_cancer_6,There are insufficient data to recommend routine testing for ESR1 mutations in metastatic breast cancer.,YES
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,breast_cancer_6,Testing for expression of PD-L1 in the tumor and immune cells with an FDA-approved test is advised.,YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,breast_cancer_6,"No, there are insufficient data to recommend the routine use of ctDNA to monitor therapy response in metastatic breast cancer.",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,breast_cancer_9,"Yes, adjuvant pembrolizumab may be administered concurrent with radiation therapy.",NO
