Question,Answer,Guideline,Generated_answer,Matches_Expected
What criteria should be used to determine BRCA1/2 testing for newly diagnosed breast cancer patients?,"Patients ≤65 years old or >65 years with eligibility for PARP inhibitor therapy, triple-negative breast cancer, family history suggesting pathogenic variants, or Ashkenazi Jewish ancestry should be tested.",breast_cancer_1,"[TextBlock(text='According to the context, age at diagnosis is the key criteria - patients diagnosed with breast cancer at age 65 or younger should be considered for BRCA1/2 testing.', type='text')]",NO
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.",breast_cancer_1,"[TextBlock(text='Genetic testing beyond BRCA1/2 should be considered in two scenarios:\n1. When patients undergoing BRCA1/2 testing show relevant personal or family history, especially if BRCA1/2-negative\n2. For breast cancer patients diagnosed before age 40 or those without BRCA1/2 mutations', type='text')]",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,breast_cancer_1,"[TextBlock(text='Patients with VUS should be managed based on their personal and family history, not the VUS itself. Management decisions should not be changed solely due to the presence of a VUS. Regular monitoring may be recommended depending on the type of VUS (suspicious, clinically relevant, or nonclinically relevant), with follow-up intervals typically ranging from yearly to every 2 years.', type='text')]",NO
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,breast_cancer_1,"[TextBlock(text='All patients who are candidates for PARP inhibitor therapy should be offered BRCA1/2 testing, regardless of family history.', type='text')]",YES
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,breast_cancer_2,"[TextBlock(text='According to the context, HER2-positive breast cancer status is the testing criterion for determining eligibility for trastuzumab deruxtecan. However, specific testing methods or thresholds are not detailed in the given context.', type='text')]",NO
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.",breast_cancer_2,"[TextBlock(text=""According to the context, getting a second pathologist review when results are close to the 0 versus 1+ interpretive threshold (>10% of cells with incomplete membrane staining that is faint/barely perceptible) is one of the best practices. The context doesn't mention other best practices."", type='text')]",NO
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.",breast_cancer_4,"[TextBlock(text='An oral PARP inhibitor is recommended in the first-through to third-line setting rather than chemotherapy for these patients.', type='text')]",NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.",breast_cancer_5,"[TextBlock(text='According to the context, an oral PARP inhibitor in the first-through to third-line setting may provide improved survival compared to chemotherapy.', type='text')]",NO
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,breast_cancer_3,"[TextBlock(text='The preferred therapy options include elacestrant or other endocrine therapy, either alone or combined with targeted agents (alpelisib for PIK3CA-mutated tumors or everolimus).', type='text')]",NO
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.",breast_cancer_5,"[TextBlock(text='Key considerations include:\n1. Patient must have received at least one prior chemotherapy for metastatic disease\n2. Confirmation of HER2 IHC 11 or 21 and ISH-negative status\n3. For hormone receptor-positive patients, must be refractory to endocrine therapy\n4. Assessment of potential risks, particularly interstitial lung disease or pneumonitis', type='text')]",NO
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,breast_cancer_3,"[TextBlock(text='According to the context, patients with these characteristics can be treated with alpelisib (a PI3K inhibitor) plus fulvestrant, after confirming PIK3CA mutations through either tumor tissue NGS or plasma ctDNA testing.', type='text')]",YES
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.",breast_cancer_3,"[TextBlock(text='According to the context, elacestrant is not significantly effective for ESR1 wild-type tumors, as it does not show a significant improvement in progression-free survival compared to standard-of-care endocrine therapy.', type='text')]",YES
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin",breast_cancer_4,"[TextBlock(text='The context only mentions sacituzumab govitecan and does not compare it to single-agent chemotherapy. Therefore, I cannot answer which of these two options should be preferred.', type='text')]",NO
