question,expected_answer,DeepSeek-R1_answer,DeepSeek-R1_match
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","Genetic testing beyond BRCA1/2 should be considered when there is a personal or family history suggestive of hereditary cancer syndromes, such as:  
- Early-onset cancers (e.g., breast/colorectal <50 years).  
- Multiple primary cancers in one individual.  
- Clustering of cancers linked to specific genes (e.g., ovarian, pancreatic, prostate, or Lynch-related cancers).  
- Rare tumors (e.g., medullary thyroid cancer, pheochromocytoma).  
- Tumor features (e.g., triple-negative breast cancer <60, microsatellite instability).  
- Known familial mutation in non-BRCA genes (e.g., PALB2, ATM, Lynch genes).  
- Ethnicity with higher prevalence of certain mutations.  
Genetic counseling is essential to assess risk and select appropriate multigene panels.",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"Patients with a **VUS** should be managed based on personal/family history and established guidelines, **not** the VUS itself. Key steps:  
1. **Avoid altering clinical care** solely due to the VUS.  
2. **Re-evaluate periodically** as classifications may change with new evidence.  
3. **Counsel patients** to clarify uncertainty and address anxiety.  
4. **Rely on family/personal risk factors** to guide surveillance/prevention.  
5. **Collaborate with genetic specialists** for updates and tailored advice.",YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"For patients with recurrent breast cancer, comprehensive germline testing is recommended, including **BRCA1/2** and other high-risk genes (e.g., PALB2, TP53, ATM, CHEK2) via a multi-gene panel. Testing should be offered regardless of prior history if not previously performed, as results may guide targeted therapies (e.g., PARP inhibitors for BRCA1/2 mutations). Genetic counseling is essential** to interpret results and assess familial risk.",NO
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"Eligibility for trastuzumab deruxtecan (T-DXd) depends on HER2 status determined by immunohistochemistry (IHC) and in situ hybridization (ISH):  
- **Breast cancer (metastatic):**  
  - **HER2-positive:** IHC 3+ or IHC 2+ with ISH-confirmed amplification (traditional HER2+).  
  - **HER2-low:** IHC 1+ or IHC 2+ without ISH amplification (no HER2 overexpression/gene amplification).  
- **Gastric/GEJ adenocarcinoma:** HER2-positive (IHC 3+ or IHC 2+ with ISH amplification).  
Testing must follow validated ASCO/CAP guidelines to ensure accuracy. Always refer to current regulatory approvals and clinical context.",NO
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","To distinguish HER2 IHC 0 from 1+ results, adhere to these best practices:  
1. **Follow ASCO/CAP Guidelines**:  
   - **0**: No staining or faint, incomplete membrane staining in ≤10% of tumor cells.  
   - **1+**: Faint/barely perceptible incomplete membrane staining in >10% of cells.  
2. **Assess Staining Characteristics**: Focus on membrane (not cytoplasmic) staining intensity and completeness (circumferential vs. partial).  
3. **Quantify Tumor Cells**: Ensure accurate calculation of stained cells (>10% for 1+).  
4. **Use Controls**: Include positive/negative controls to validate assay performance.  
5. **Ensure Proper Fixation**: Fix tissue in 10% neutral buffered formalin (6–72 hours) to avoid artifacts.  
6. **Train Pathologists**: Minimize interobserver variability via expert review or consensus for borderline cases.  
7. **Validate Assays**: Use standardized, approved IHC protocols and reagents.  

These steps enhance accuracy in distinguishing 0 (negative) from 1+ (negative/low expression) results.",YES
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","The recommended treatment for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and received two prior lines of chemotherapy is **Sacituzumab govitecan**, an antibody-drug conjugate approved in this setting. Additional options depend on molecular markers:  
- **PIK3CA mutation**: Alpelisib + fulvestrant.  
- **BRCA mutation**: PARP inhibitors (e.g., olaparib).  
- **Other options**: Everolimus + exemestane or further chemotherapy regimens (e.g., eribulin, capecitabine).  

Sacituzumab govitecan is prioritized based on recent guidelines for this specific scenario.",NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.","Trastuzumab deruxtecan (T-DXd) significantly improves progression-free and overall survival in HER2-low (IHC 1+/2+ with negative ISH) metastatic breast cancer after prior chemotherapy, as demonstrated in the DESTINY-Breast04 trial. It is the standard-of-care in this setting.",YES
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"The preferred therapy for patients with hormone receptor-positive, HER2-negative metastatic breast cancer with ESR1 mutations detected in ctDNA after prior CDK4/6 inhibitor treatment is **elacestrant**, an oral selective estrogen receptor degrader (SERD). This recommendation is supported by the EMERALD trial, which demonstrated improved progression-free survival with elacestrant over standard endocrine therapy in this population. If elacestrant is unavailable, fulvestrant (a traditional SERD) may be considered.",YES
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","When prescribing trastuzumab deruxtecan (T-DXd) for HER2-low metastatic breast cancer, key considerations include:  
1. **HER2 Status Confirmation**: Ensure HER2-low expression (IHC 1+ or 2+/ISH-negative) via validated testing.  
2. **Prior Therapy**: Typically used after 1–2 prior chemotherapy lines in the metastatic setting.  
3. **Adverse Effect Monitoring**: Vigilant screening for interstitial lung disease (ILD)/pneumonitis (baseline and periodic imaging) and hematologic toxicities (e.g., neutropenia).  
4. **Dose Adjustments**: Adjust for organ dysfunction, adverse events (e.g., ILD), or comorbidities (e.g., pre-existing lung disease).  
5. **Contraindications**: Avoid in pregnancy; assess for drug interactions.  
6. **Patient Education**: Counsel on early symptoms of ILD (e.g., cough, dyspnea) and emphasize prompt reporting.  
7. **Cardiac and Performance Status**: Baseline assessment of cardiac function and fitness for treatment.  

Adherence to these factors optimizes safety and efficacy.",YES
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"Therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with **PIK3CA mutations** include:  
1. **First-line**: Endocrine therapy (e.g., aromatase inhibitors, fulvestrant) combined with **CDK4/6 inhibitors** (e.g., palbociclib, ribociclib).  
2. **Targeted therapy**: After progression on endocrine therapy, **alpelisib (PI3Kα inhibitor) + fulvestrant** is recommended for confirmed PIK3CA mutations.  
3. **Alternatives**: Everolimus (mTOR inhibitor) + exemestane or chemotherapy.  
4. **Clinical trials** for novel agents (e.g., AKT inhibitors).  

Testing for PIK3CA mutations (via tissue or liquid biopsy) is critical to guide targeted therapy selection.",YES
