Question,Answer,Guideline,Generated_answer,Matches_Expected
What criteria should be used to determine BRCA1/2 testing for newly diagnosed breast cancer patients?,"Patients ≤65 years old or >65 years with eligibility for PARP inhibitor therapy, triple-negative breast cancer, family history suggesting pathogenic variants, or Ashkenazi Jewish ancestry should be tested.",breast_cancer_1,"[TextBlock(text='According to the context, the main criteria are:\n1. Age at breast cancer diagnosis\n2. Personal history of breast cancer\n3. Active treatment status\n4. Family risk assessment\n5. Personal risk management\n6. Potential impact on reducing second primary malignancy risks', type='text')]",NO
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.",breast_cancer_1,"[TextBlock(text='Genetic testing beyond BRCA1/2 should be considered when patients:\n1. Are diagnosed with breast cancer before age 40\n2. Have a family history of cancer\n3. Show clinical indications in personal/family history\n4. Have reportable variants in other cancer susceptibility genes\n5. Test negative for BRCA1/2 but still seek to understand their genetic predisposition', type='text')]",NO
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,breast_cancer_1,"[TextBlock(text='Patients with VUS should be managed based on their personal and family history, not the VUS itself. Clinical decisions should only incorporate VUS findings if the variant is conclusively reclassified as pathogenic or likely pathogenic. Family history should guide risk reduction and screening strategies.', type='text')]",YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,breast_cancer_1,"[TextBlock(text='BRCA1/2 testing should be offered to patients with recurrent breast cancer who are candidates for PARP inhibitor therapy, regardless of their family history.', type='text')]",YES
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,breast_cancer_2,"[TextBlock(text='HER2 IHC 1+ or IHC 2+/ISH not-amplified results should be used to determine eligibility for trastuzumab deruxtecan.', type='text')]",YES
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.",breast_cancer_2,"[TextBlock(text='According to the context, there are two best practices:\n1. Getting a second pathologist review when results are close to the 0 versus 1+ threshold\n2. Using controls with a range of protein expression (including 1+) to ensure appropriate assay detection limits', type='text')]",NO
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.",breast_cancer_4,"[TextBlock(text='Sacituzumab govitecan (SG) is recommended for these patients.', type='text')]",NO
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.",breast_cancer_5,"[TextBlock(text=""Trastuzumab deruxtecan offers improved survival compared to treatment of physician's choice (TPC)."", type='text')]",NO
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,breast_cancer_3,"[TextBlock(text='The preferred therapy options include elacestrant or other endocrine therapy, either alone or combined with targeted agents like alpelisib (for PIK3CA-mutated tumors) or everolimus.', type='text')]",NO
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.",breast_cancer_5,"[TextBlock(text='The key considerations are:\n1. Patient must have HER2 IHC 11 or 21 and ISH-negative metastatic breast cancer\n2. Must have received at least one prior chemotherapy for metastatic disease\n3. If hormone receptor-positive, must be refractory to endocrine therapy', type='text')]",NO
